16,11.86,G000553,Al Green,D,TX,TRI T VAN,22960.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $22,960 to TRI T VAN (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
17,11.82,G000553,Al Green,D,TX,MINH D TRIEU,20890.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $20,890 to MINH D TRIEU (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
18,11.77,K000389,Ro Khanna,D,CA,RICHARD P STOVSKY,18750.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Ro Khanna: $18,750 to RICHARD P STOVSKY (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
19,11.77,G000553,Al Green,D,TX,JEROME LANCASTER,18720.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $18,720 to JEROME LANCASTER (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
20,11.77,G000553,Al Green,D,TX,TRUC NGUYEN,18516.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $18,516 to TRUC NGUYEN (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
21,11.69,G000553,Al Green,D,TX,DEREK REY URESTI,15390.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $15,390 to DEREK REY URESTI (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
22,11.68,C000537,James E. Clyburn,D,SC,GEICO AUTO,15068.320000000002,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"James E. Clyburn: $15,068 to GEICO AUTO (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
23,11.62,L000590,Susie Lee,D,NV,SM COMPLIANCE,13325.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Susie Lee: $13,325 to SM COMPLIANCE (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
24,11.61,W000808,Frederica S. Wilson,D,FL,COUNTRYWIDE PEST MANAGEM,13000.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Frederica S. Wilson: $13,000 to COUNTRYWIDE PEST MANAGEM (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
25,11.61,M001137,Gregory W. Meeks,D,NY,SUNSHINE BEST CLEANING,12750.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Gregory W. Meeks: $12,750 to SUNSHINE BEST CLEANING (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
26,11.59,B001313,Shontel M. Brown,D,OH,TIDY CLEANING,12356.25,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Shontel M. Brown: $12,356 to TIDY CLEANING (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
27,11.58,T000193,Bennie G. Thompson,D,MS,RICHARD WILLIAMS,38080.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3","E, M",2,"Bennie G. Thompson: $38,080 to RICHARD WILLIAMS (2024Q4–2025Q3) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
28,11.55,G000596,Marjorie Taylor Greene,R,GA,BATES CLEANING SERVICE,11250.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Marjorie Taylor Greene: $11,250 to BATES CLEANING SERVICE (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
29,11.54,J000288,"Henry C. ""Hank"" Johnson, Jr.",D,GA,BEE WISE CLEANING,10950.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Henry C. ""Hank"" Johnson, Jr.: $10,950 to BEE WISE CLEANING (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
30,11.4,R000606,Jamie Raskin,D,MD,BSREP II OFFICE HOLDINGS,100537.6,"2024Q4, 2025Q3, 2025Q4","E, F",2,"Jamie Raskin: $100,538 to BSREP II OFFICE HOLDINGS (2024Q4–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
31,11.32,H001093,Erin Houchin,R,IN,DRIVE PUBLIC AFFAIRS,83631.93,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","I, M",2,"Erin Houchin: $83,632 to DRIVE PUBLIC AFFAIRS (2024Q4–2025Q4) — cluster of round-dollar payments; payee appears to be an individual, not a firm"
32,11.29,L000566,Robert E. Latta,R,OH,DRIVE PUBLIC AFFAIRS,78000.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","I, M",2,"Robert E. Latta: $78,000 to DRIVE PUBLIC AFFAIRS (2024Q4–2025Q4) — cluster of round-dollar payments; payee appears to be an individual, not a firm"
33,11.25,C001072,André Carson,D,IN,RADI MEDIUM BUYING,177816.0,"2024Q4, 2025Q1, 2025Q3, 2025Q4","E, H",3,"André Carson: $177,816 to RADI MEDIUM BUYING (2024Q4–2025Q4) — vendor used by almost no other offices; outsized single transaction"
34,11.24,M001217,Jared Moskowitz,D,FL,VICTORY POLITICAL MAIL,206991.95,"2025Q3, 2025Q4","E, F",2,"Jared Moskowitz: $206,992 to VICTORY POLITICAL MAIL (2025Q3–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
35,11.14,W000797,Debbie Wasserman Schultz,D,FL,COMMUNITY COM,13815.949999999999,"2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Debbie Wasserman Schultz: $13,816 to COMMUNITY COM (2025Q1–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
36,11.04,T000468,Dina Titus,D,NV,CITY OF LAS VEGAS,108510.29000000001,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","B, E",2,"Dina Titus: $108,510 to CITY OF LAS VEGAS (2024Q4–2025Q4) — negative transactions recurring across quarters; vendor used by almost no other offices"
37,10.95,J000309,Jonathan L. Jackson,D,IL,CHAPRONET TELECOM CIRCLE,27877.79,"2025Q1, 2025Q3, 2025Q4","E, M",2,"Jonathan L. Jackson: $27,878 to CHAPRONET TELECOM CIRCLE (2025Q1–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
38,10.82,T000474,Norma J. Torres,D,CA,JACOBSON & ZILBER STRATEGIES,207683.53,"2025Q1, 2025Q3, 2025Q4","E, H",2,"Norma J. Torres: $207,684 to JACOBSON & ZILBER STRATEGIES (2025Q1–2025Q4) — vendor used by almost no other offices; outsized single transaction"
39,10.76,H001077,Clay Higgins,R,LA,BRAVE NEW TELEVISON,18320.0,"2024Q4, 2025Q3, 2025Q4","E, M",2,"Clay Higgins: $18,320 to BRAVE NEW TELEVISON (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
40,10.74,C001127,Sheila Cherfilus-McCormick,D,FL,EASY WAY LUXURY,54960.0,"2025Q3, 2025Q4","E, M",2,"Sheila Cherfilus-McCormick: $54,960 to EASY WAY LUXURY (2025Q3–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
41,10.68,B001281,Joyce Beatty,D,OH,LEICA WASHINGTON DC,47741.520000000004,"2025Q1, 2025Q2","E, M",2,"Joyce Beatty: $47,742 to LEICA WASHINGTON DC (2025Q1–2025Q2) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
42,10.67,O000173,Ilhan Omar,D,MN,RELATIVE INTEL,14845.0,"2024Q4, 2025Q1, 2025Q2","E, M",2,"Ilhan Omar: $14,845 to RELATIVE INTEL (2024Q4–2025Q2) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
43,10.65,C001051,John R. Carter,R,TX,THOMAS GRAPHICS,55656.759999999995,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, J",2,"John R. Carter: $55,657 to THOMAS GRAPHICS (2024Q4–2025Q4) — vendor used by almost no other offices; near-exact offsetting transaction pair"
44,10.57,A000370,Alma S. Adams,D,NC,CONNECTING ELEMENTS,37078.979999999996,"2024Q4, 2025Q1","E, M",2,"Alma S. Adams: $37,079 to CONNECTING ELEMENTS (2024Q4–2025Q1) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
45,10.52,E000296,Dwight Evans,D,PA,LOUIS STRACHAN,32976.0,"2025Q2, 2025Q3","E, M",2,"Dwight Evans: $32,976 to LOUIS STRACHAN (2025Q2–2025Q3) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
46,10.5,G000559,John Garamendi,D,CA,PLAVIDIAN,124698.21,"2024Q4, 2025Q1, 2025Q3, 2025Q4","E, J",2,"John Garamendi: $124,698 to PLAVIDIAN (2024Q4–2025Q4) — vendor used by almost no other offices; near-exact offsetting transaction pair"
47,10.49,F000465,A. Drew Ferguson IV,R,GA,CDW GOVERNMENT,19321.47,2025Q4,"F, M",2,"A. Drew Ferguson IV: $19,321 to CDW GOVERNMENT (2025Q4) — vendor dominates the office's spending; payee appears to be an individual, not a firm"
48,10.46,M001217,Jared Moskowitz,D,FL,SANDLER & REIFF,36000.0,"2024Q4, 2025Q1, 2025Q3, 2025Q4","I, M",2,"Jared Moskowitz: $36,000 to SANDLER & REIFF (2024Q4–2025Q4) — cluster of round-dollar payments; payee appears to be an individual, not a firm"
49,10.45,W000798,Tim Walberg,R,MI,CAPITAL MAIL SERVICES,112649.76000000001,"2024Q4, 2025Q1, 2025Q3, 2025Q4","E, J",2,"Tim Walberg: $112,650 to CAPITAL MAIL SERVICES (2024Q4–2025Q4) — vendor used by almost no other offices; near-exact offsetting transaction pair"
50,10.4,M001239,John J. McGuire III,R,VA,DRIVE PUBLIC AFFAIRS,31600.0,"2025Q1, 2025Q2, 2025Q3, 2025Q4","I, M",2,"John J. McGuire III: $31,600 to DRIVE PUBLIC AFFAIRS (2025Q1–2025Q4) — cluster of round-dollar payments; payee appears to be an individual, not a firm"
