rank,score,bioguide_id,member_name,party,state,vendor_name,amount,quarters,detectors,n_findings,hook
1,15.17,G000583,Josh Gottheimer,D,NJ,PINPOINT DIGITAL,498266.94000000006,"2024Q4, 2025Q1, 2025Q2","E, F, H",4,"Josh Gottheimer: $498,267 to PINPOINT DIGITAL (2024Q4–2025Q2) — vendor used by almost no other offices; vendor dominates the office's spending; outsized single transaction"
2,14.99,G000553,Al Green,D,TX,BUFFALO SPEEDWAY,123663.85999999999,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, J, M",3,"Al Green: $123,664 to BUFFALO SPEEDWAY (2024Q4–2025Q4) — vendor used by almost no other offices; near-exact offsetting transaction pair; payee appears to be an individual, not a firm"
3,14.28,S001150,Adam B. Schiff,D,CA,DODGE CHROME,20143.58,"2024Q4, 2025Q1","E, F, M",3,"Adam B. Schiff: $20,144 to DODGE CHROME (2024Q4–2025Q1) — vendor used by almost no other offices; vendor dominates the office's spending; payee appears to be an individual, not a firm"
4,13.91,M001237,Kristen McDonald Rivet,D,MI,OLD TOWN MEDIA,240164.88,2025Q4,"E, F, H",4,"Kristen McDonald Rivet: $240,165 to OLD TOWN MEDIA (2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending; outsized single transaction"
5,13.6,V000136,Gabe Vasquez,D,NM,CONEXION PUBLIC ENGAGEMENT,196437.5,2025Q4,"F, J, M",3,"Gabe Vasquez: $196,438 to CONEXION PUBLIC ENGAGEMENT (2025Q4) — vendor dominates the office's spending; near-exact offsetting transaction pair; payee appears to be an individual, not a firm"
6,13.5,S000344,Brad Sherman,D,CA,SHERMAN OAKS PROFESSIONAL,100877.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, L",2,"Brad Sherman: $100,877 to SHERMAN OAKS PROFESSIONAL (2024Q4–2025Q4) — vendor used by almost no other offices; vendor name matches the member's surname"
7,13.04,K000401,Kevin Kiley,R,CA,POLLING AMERICA COMMUNICATIONS,376583.76,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, F",2,"Kevin Kiley: $376,584 to POLLING AMERICA COMMUNICATIONS (2024Q4–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
8,12.47,M000687,Kweisi Mfume,D,MD,901,110576.64,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, F",2,"Kweisi Mfume: $110,577 to 901 (2024Q4–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
9,12.34,T000488,Shri Thanedar,D,MI,400 MONROE LIMITED PARTNERSHIP,80240.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, F",2,"Shri Thanedar: $80,240 to 400 MONROE LIMITED PARTNERSHIP (2024Q4–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
10,12.32,D000216,Rosa L. DeLauro,D,CT,59 ELM STREET PARTNERS,81600.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, F",2,"Rosa L. DeLauro: $81,600 to 59 ELM STREET PARTNERS (2024Q4–2025Q4) — vendor used by almost no other offices; vendor dominates the office's spending"
11,12.25,M001208,Lucy McBath,D,GA,EXECUTIVE PROTECTION AGENCIES,56272.84,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Lucy McBath: $56,273 to EXECUTIVE PROTECTION AGENCIES (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
12,12.11,B001313,Shontel M. Brown,D,OH,RONALD L MOSLEY,40680.67,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Shontel M. Brown: $40,681 to RONALD L MOSLEY (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
13,11.96,D000623,Mark DeSaulnier,D,CA,VICKI IRVING,28981.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Mark DeSaulnier: $28,981 to VICKI IRVING (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
14,11.95,G000553,Al Green,D,TX,EFREM Z WALLER,27930.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Al Green: $27,930 to EFREM Z WALLER (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
15,11.88,M001137,Gregory W. Meeks,D,NY,FINEST EXECUTIVE PROTECTION,23757.0,"2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4","E, M",2,"Gregory W. Meeks: $23,757 to FINEST EXECUTIVE PROTECTION (2024Q4–2025Q4) — vendor used by almost no other offices; payee appears to be an individual, not a firm"
