bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,9892.84,588,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,972750.5,368052.85,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,17934.06,8231.21,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,92400.2,14707.63,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4880.8,1116.13,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,42245.21,27840.99,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,156390.61,70151.47,,,,,116,2019Q3,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,38174.79,16428.25,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,992973.28,361058.32,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,500.64,37.67,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,17347.58,7524.03,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1673.75,59.9,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,50223.96,25878.45,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,90926.84,25156.48,,,,,116,2019Q3,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,37111.15,13194.27,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,OTHER SERVICES,12000,12000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,SUPPLIES AND MATERIALS,4881714.81,4854024.81,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,EQUIPMENT,13659.83,13659.83,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,69749312.03,17897492.1,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,253806.75,75866.15,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,530111.38,293748.17,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,300198.76,116811,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,1779.12,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,988702.44,274432.76,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,47845.85,12795.04,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,3029386.75,1149842.83,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,1007598.22,185322.32,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,761611.47,341053.59,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,RENT COMMUNICATION UTILITIES,37945.32,4324.63,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,2728486.98,743178.25,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,136559.05,28059.19,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,RENT COMMUNICATION UTILITIES,14743.15,14743.15,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,172879.44,171313.46,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,EQUIPMENT,18777.41,18777.41,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,22053.5,6338,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,1104.34,782.46,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,OTHER SERVICES,91268.09,45865.53,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,76.15,40.8,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,36733.22,17881,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,324619.31,109157.61,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,SUPPLIES AND MATERIALS,1894.53,1057.03,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,41240.26,5600,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,952618.59,574065.93,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,181970.23,138233.79,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,212310.26,59659.08,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,SUPPLIES AND MATERIALS,316.94,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,EQUIPMENT,230638.39,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,117596,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,659809.32,32047.1,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,21520.96,15705.65,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,EQUIPMENT,63692.55,59187.31,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,OTHER SERVICES,3038.82,3038.82,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,627750,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,OTHER SERVICES,18108.9,18108.9,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,SUPPLIES AND MATERIALS,199,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,576765.73,15927.67,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,OTHER SERVICES,14891.76,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,SUPPLIES AND MATERIALS,3863.04,3863.04,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,181449.88,79261.63,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,TRAVEL,1784.49,0,,,,,116,2019Q3,false
