bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
B001304,2019 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30735,10380,Anthony G. Brown,D,MD,4,116,2019Q3,true
B001304,2019 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22309.53,3675.36,Anthony G. Brown,D,MD,4,116,2019Q3,true
B001304,2019 HON. ANTHONY G. BROWN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3409,648,Anthony G. Brown,D,MD,4,116,2019Q3,true
B001304,2019 HON. ANTHONY G. BROWN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14905.33,10524.66,Anthony G. Brown,D,MD,4,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1126.75,1200.69,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,661356.62,219665.22,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34861.58,13944.22,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,59390.1,22789.68,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2838,348.75,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27776.87,10306.87,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13704.46,3068.86,Julia Brownley,D,CA,26,116,2019Q3,true
B001285,2019 HON. JULIA BROWNLEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3534.56,1635.56,Julia Brownley,D,CA,26,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23780.29,11988.93,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,688740.06,234660.99,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19177.13,3179.84,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,80295.22,26022.47,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25676.77,11805.4,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37027.6,12090.75,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8915.14,3171.72,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2319.74,630,Vern Buchanan,R,FL,16,116,2019Q3,true
B001260,2019 HON. VERN BUCHANAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13579.98,8146.65,Vern Buchanan,R,FL,16,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,478.39,489.22,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,586905.83,195224.24,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,59961.82,25708.05,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,49505.01,17546.65,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1632.3,77.2,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30870.99,10287,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5629.91,1627.15,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3419.02,1275.53,Ken Buck,R,CO,4,116,2019Q3,true
B001297,2019 HON. KEN BUCK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5716.62,3268.18,Ken Buck,R,CO,4,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21952.52,20984.44,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,649775.98,209744.43,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,49963.42,22952.98,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,64077.14,22890.21,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23653.26,23025.66,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19665.95,6794,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4694.04,1363.06,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3643.15,2577.55,Larry Bucshon,R,IN,8,116,2019Q3,true
B001275,2019 HON. LARRY BUCSHON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4233.33,2866.66,Larry Bucshon,R,IN,8,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,27253.2,2095.23,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,634762.58,195405.56,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34603.18,7713.37,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,61724.02,17111.43,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,61929.52,18812.18,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39245,15065,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,24112.06,3128.81,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1536,411,Ted Budd,R,NC,13,116,2019Q3,true
B001305,2019 HON. TED BUDD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9449.17,5191.25,Ted Budd,R,NC,13,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2653.25,1168.99,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,644414.08,226133.4,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32243.96,10316.95,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,52687.72,17815.01,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2450.49,561.28,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30541.92,7269.93,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25141.57,14034.52,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,25639.92,6087.93,Tim Burchett,R,TN,2,116,2019Q3,true
B001309,2019 HON. TIM BURCHETT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3880,2480,Tim Burchett,R,TN,2,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2244.16,765.21,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,716477.57,252855.49,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38501.3,19078.54,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,26.6,0,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,49805.38,19095.07,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1456.5,886.63,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35401,12264,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9111.8,4382.75,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2283.54,778.5,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001248,2019 HON. MICHAEL C. BURGESS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5240.83,4020,Michael C. Burgess,R,TX,26,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2859.32,764.15,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,716021.84,232396.71,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36024.61,7065.6,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,67659.99,24618.05,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6714.05,2332.15,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,51655.9,14073.8,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11344.54,5326.85,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7027.75,1616.33,Cheri Bustos,D,IL,17,116,2019Q3,true
B001286,2019 HON. CHERI BUSTOS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1620,1620,Cheri Bustos,D,IL,17,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,506.45,288.41,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,710319.65,240697.75,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40670.12,17341.44,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,59717.45,23477.19,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2013.36,310.36,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27594.66,10630.7,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16550.09,12163.88,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3881.81,2518.85,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001251,2019 HON. G.K. BUTTERFIELD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7920,3000,G. K. Butterfield,D,NC,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10980.99,4914.15,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,720862.39,261815.59,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27986.04,8490.81,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,84115.81,28000.5,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2378.21,1525.81,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20894.22,5786.82,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21745.25,2277.94,Bradley Byrne,R,AL,1,116,2019Q3,true
B001289,2019 HON. BRADLEY BYRNE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4344.66,2711.03,Bradley Byrne,R,AL,1,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,13788.28,5348.16,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,651285.81,217514.69,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,68915.74,20629.04,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,52727.51,15635.48,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,19638.47,9923.75,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36690,10530,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11931.01,3641.94,Ken Calvert,R,CA,42,116,2019Q3,true
C000059,2019 HON. KEN CALVERT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3528,1176,Ken Calvert,R,CA,42,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3385.8,691.29,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,772444.27,258799.92,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39440.55,12589.3,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,73879.35,24083.23,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2939.66,675.66,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35914.73,21565.05,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16144.92,2496.86,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4250.14,2750.14,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001112,2019 HON. SALUD O. CARBAJAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9616.69,9616.69,Salud O. Carbajal,D,CA,24,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,119.91,3.44,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,680207.45,237224.99,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27288.7,10898.12,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,61464.23,20762.72,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6303.55,5388.95,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20677.99,7458.01,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15792.98,5974.54,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2864.55,1064.55,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001097,2019 HON. TONY CARDENAS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2040,2040,Tony Cárdenas,D,CA,29,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,718.56,114.77,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,772219.3,247183.32,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48846.6,16040.82,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,70077.8,24165,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8774.62,4535.28,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31772.68,10495.74,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17420.09,5442.52,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5392.61,3226.61,André Carson,D,IN,7,116,2019Q3,true
C001072,2019 HON. ANDRE CARSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7232.22,5242.22,André Carson,D,IN,7,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6922.41,2843.55,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,617008.51,209661.39,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48353.83,13969.32,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,83398.76,27271.72,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9842.14,773.93,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34188.5,11400,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10895.68,964.84,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1174.83,411.33,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001103,"2019 HON. EARL L. ""BUDDY"" CARTER",INTERN ALLOWANCES,PERSONNEL COMPENSATION,17192.32,11192.32,"Earl L. ""Buddy"" Carter",R,GA,1,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,73235.21,42882.85,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,612624.57,188629.94,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,61760.13,17192.21,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,70701.52,24810.46,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32534.64,10909.73,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35127,10235,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16780.12,6154.12,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2376,792,John R. Carter,R,TX,31,116,2019Q3,true
C001051,2019 HON. JOHN R. CARTER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7599.99,4049.99,John R. Carter,R,TX,31,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3483.64,1448.5,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,742950.42,250150.57,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12156.61,2975.09,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,101268.9,41791.59,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12771.22,4181.88,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37915.25,17675.81,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18829.23,4578.99,Matt Cartwright,D,PA,17,116,2019Q3,true
